structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2025-Q3,2025,Q3,365.6339,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2025-Q4,2025,Q4,369.4946,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2016-Q1,2016,Q1,1518.487,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2016-Q2,2016,Q2,1550.107,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2016-Q3,2016,Q3,1569.314,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2016-Q4,2016,Q4,1586.592,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q1,2017,Q1,1597.516,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q2,2017,Q2,1604.859,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q3,2017,Q3,1627.76,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q4,2017,Q4,1637.465,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q1,2018,Q1,1649.491,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q2,2018,Q2,1659.82,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q3,2018,Q3,1670.446,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q4,2018,Q4,1664.543,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q1,2019,Q1,1684.994,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q2,2019,Q2,1692.527,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q3,2019,Q3,1694.027,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q4,2019,Q4,1703.152,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q1,2020,Q1,1709.168,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q2,2020,Q2,1715.35,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q3,2020,Q3,1703.647,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q4,2020,Q4,1702.634,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q1,2021,Q1,1713.438,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q2,2021,Q2,1720.19,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q3,2021,Q3,1744.739,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q4,2021,Q4,1744.533,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q1,2022,Q1,1735.796,Normal value,False
