structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,employment_value,observation_status,is_estimated
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2019,2223.658,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2020,2250.217,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2021,2277.725,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2022,2426.358,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2023,2521.083,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2024,2559.075,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2025,2611.683,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2016,91.0,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2017,92.5,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2018,96.75,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2019,100.25,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2020,100.0,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2021,97.6,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2022,101.825,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2023,101.75,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2024,102.05,Normal value,False
Employed population by age groups,LVA,Latvia,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2025,102.95,Normal value,False
Employed population by age groups,LTU,Lithuania,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2016,137.25,Normal value,False
Employed population by age groups,LTU,Lithuania,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2017,144.75,Normal value,False
Employed population by age groups,LTU,Lithuania,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2018,150.5,Normal value,False
Employed population by age groups,LTU,Lithuania,Employment,Persons,Calendar and seasonally adjusted,Female,From 55 to 64 years,Annual,2019,153.5,Normal value,False
