structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,SVN,Slovenia,Population,Persons,Male,From 15 to 64 years,2023,703.748,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Male,From 15 to 64 years,2023,16076.61,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Male,From 15 to 64 years,2023,3359.125,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Male,From 15 to 64 years,2023,2957.582,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2023,29400.198,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Male,From 15 to 64 years,2023,21326.849,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2023,108535.823,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Male,From 15 to 64 years,2024,8848.345,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Male,From 15 to 64 years,2024,3036.285,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Male,From 15 to 64 years,2024,3771.614,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Male,From 15 to 64 years,2024,13806.633,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Male,From 15 to 64 years,2024,6820.621,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Male,From 15 to 64 years,2024,17428.273,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Male,From 15 to 64 years,2024,1800.596,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Male,From 15 to 64 years,2024,3521.329,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Male,From 15 to 64 years,2024,1916.315,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2024,438.778,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Male,From 15 to 64 years,2024,1774.202,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2024,20894.695,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Male,From 15 to 64 years,2024,3325.523,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Male,From 15 to 64 years,2024,3144.746,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Male,From 15 to 64 years,2024,132.778,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Male,From 15 to 64 years,2024,1748.116,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2024,2861.502,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Male,From 15 to 64 years,2024,18814.512,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Male,From 15 to 64 years,2024,37433.838,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Male,From 15 to 64 years,2024,18676.5,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2024,579.733,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2024,946.382,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2024,239.225,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Male,From 15 to 64 years,2024,43229.967,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Male,From 15 to 64 years,2024,5825.253,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2024,1723.23,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Male,From 15 to 64 years,2024,1847.681,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2024,12195.689,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Male,From 15 to 64 years,2024,3297.138,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Male,From 15 to 64 years,2024,1801.843,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Male,From 15 to 64 years,2024,704.738,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Male,From 15 to 64 years,2024,16273.909,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Male,From 15 to 64 years,2024,3370.018,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Male,From 15 to 64 years,2024,2994.303,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2024,29524.445,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Male,From 15 to 64 years,2024,22097.241,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2024,108733.544,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Male,From 15 to 64 years,2022,8388.087,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Male,From 15 to 64 years,2022,3011.069,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Male,From 15 to 64 years,2022,12883.869,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Male,From 15 to 64 years,2022,1773.675,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2022,20777.643,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Male,From 15 to 64 years,2022,3322.504,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Male,From 15 to 64 years,2022,3155.756,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Male,From 15 to 64 years,2022,125.444,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Male,From 15 to 64 years,2022,1674.744,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2022,2855.558,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Male,From 15 to 64 years,2022,18802.657,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Male,From 15 to 64 years,2022,18840.976,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2022,906.356,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Male,From 15 to 64 years,2022,42208.761,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Male,From 15 to 64 years,2022,5745.098,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2022,1641.01,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Male,From 15 to 64 years,2022,3229.074,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Male,From 15 to 64 years,2022,15875.122,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Male,From 15 to 64 years,2022,2924.361,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Male,From 15 to 64 years,2022,21326.849,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2022,108301.234,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Male,From 15 to 64 years,2020,8322.331,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Male,From 15 to 64 years,2020,2983.14,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Male,From 15 to 64 years,2020,12664.674,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Male,From 15 to 64 years,2020,1747.022,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2020,20583.721,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Male,From 15 to 64 years,2020,3197.385,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Male,From 15 to 64 years,2020,120.707,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Male,From 15 to 64 years,2020,1629.921,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2020,2753.292,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Male,From 15 to 64 years,2020,19163.782,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Male,From 15 to 64 years,2020,41380.094,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2020,1654.29,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2020,12624.351,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Male,From 15 to 64 years,2020,15728.546,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Male,From 15 to 64 years,2020,21071.559,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2020,108308.321,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Male,From 15 to 64 years,2021,8287.7,Normal value,False
