structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2018,6451.943,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2018,229.005,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2018,3194.039,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2018,30840.972,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2018,42544.168,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2017,16168.506,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2017,6497.154,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2017,222.675,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2017,3148.131,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2017,30727.303,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2017,42408.154,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2019,16570.435,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2019,6400.242,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2019,232.882,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2019,3241.56,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Total,From 15 to 64 years,2019,3256.59,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2019,31111.726,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2019,42701.87,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2016,3349.757,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2017,3387.204,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2018,3423.77,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2019,3456.185,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2025,3611.55,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2020,16704.135,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2020,5921.053,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2020,25121.768,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2020,3483.004,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2020,41717.79,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2020,6337.03,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2020,234.972,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2020,3290.109,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Total,From 15 to 64 years,2020,5518.394,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2020,85272.128,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Total,From 15 to 64 years,2020,3319.12,Normal value,False
Historical population data,POL,Poland,Population,Persons,Total,From 15 to 64 years,2020,25240.808,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2020,31327.221,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2020,42757.102,Normal value,False
Historical population data,USA,United States,Population,Persons,Total,From 15 to 64 years,2020,215743.025,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2021,16622.311,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2021,5925.136,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2021,25104.41,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2021,3509.468,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2021,41876.07,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2021,6278.311,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2021,237.7,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2021,3319.617,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Total,From 15 to 64 years,2021,5605.004,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2021,37051.333,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2021,86098.57,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Total,From 15 to 64 years,2021,3307.98,Normal value,False
Historical population data,POL,Poland,Population,Persons,Total,From 15 to 64 years,2021,24959.001,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2021,31320.534,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2021,42904.27,Normal value,False
Historical population data,USA,United States,Population,Persons,Total,From 15 to 64 years,2021,215541.683,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2022,16817.097,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2022,5980.407,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2022,25513.292,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2022,3536.974,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2022,42028.294,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2022,6644.856,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2022,6244.63,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2022,243.515,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2022,3388.375,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Total,From 15 to 64 years,2022,5714.973,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2022,37480.37,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2022,36743.472,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2022,1843.235,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2022,87023.345,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2022,11417.753,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Total,From 15 to 64 years,2022,3291.34,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2022,6622.948,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2022,31627.745,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2022,5777.412,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2022,43259.738,Normal value,False
Historical population data,USA,United States,Population,Persons,Total,From 15 to 64 years,2022,215730.87,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2024,17710.165,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2024,6017.297,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2024,7505.857,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2024,27203.969,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2024,13619.165,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2024,35703.297,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Total,From 15 to 64 years,2024,3589.976,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2024,6936.076,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2024,3796.169,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2024,871.361,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2024,3474.56,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2024,42198.234,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2024,6604.392,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2024,6207.418,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2024,255.954,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Total,From 15 to 64 years,2024,3536.767,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Total,From 15 to 64 years,2024,5744.668,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2024,37385.032,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2024,73728.392,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2024,36327.585,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2024,1176.714,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2024,1879.464,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Total,From 15 to 64 years,2024,468.242,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2024,89017.715,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2024,11571.547,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Total,From 15 to 64 years,2024,3439.3,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2024,3617.157,Normal value,False
Historical population data,POL,Poland,Population,Persons,Total,From 15 to 64 years,2024,24344.812,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2024,6744.347,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2024,3553.027,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2024,1348.135,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2024,32397.281,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2024,6588.063,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2024,5913.235,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Total,From 15 to 64 years,2024,58482.01,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2024,44707.312,Normal value,False
Historical population data,USA,United States,Population,Persons,Total,From 15 to 64 years,2024,216521.68,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2023,17312.522,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2023,6011.516,Normal value,False
