structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q4,2022,Q4,8938.049,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q1,2023,Q1,8994.021,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q2,2023,Q2,9125.516,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q3,2023,Q3,9176.863,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q4,2023,Q4,9238.023,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q1,2024,Q1,9244.246,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q2,2024,Q2,9311.943,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q3,2024,Q3,9382.136,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q4,2024,Q4,9427.13,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2025-Q1,2025,Q1,9472.464,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2025-Q2,2025,Q2,9528.622,Normal value,False
